name,description,sections,url
EN ISO 12312-1:2022,Eye and face protection.,"§5.2, 5.3.1, 5.3.2, 6.1, 6.3",https://www.iso.org/standard/77321.html
ANSI Z80.3-2018,Ophthalmics – Nonprescription Sunglass and Fashion Eyewear Requirements.,"§4.2 (optional), 4.9, 4.10, 4.10.2.2, 4.12",https://blog.ansi.org/ansi/ophthalmics-sunglass-fashion-eyewear-z80-3-2018/
